axis,context,dataset,gold_answer,metadata,question,sample_id,supporting_facts
knowledge,,triviaqa,PULSAR,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What general name is given to a rotating star which emits a regular beat of radiation?,sfq_178,[]
knowledge,,triviaqa,RUDDIGORE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",sfq_11822,[]
knowledge,,triviaqa,JIM LAKER,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,sfq_17752,[]
knowledge,,triviaqa,Farthings,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,qb_2689,[]
knowledge,,triviaqa,St Vitus,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who is the patron saint of dancers?,sfq_6199,[]
knowledge,,triviaqa,Karl Marx and Friedrich Engels,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",qg_607,[]
knowledge,,triviaqa,Jerez,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The fortified wine drink Sherry is named after what town?,bb_912,[]
knowledge,,triviaqa,Queen of the South,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The nickname for Dumfries became the name of which Scottish football club?,dpql_4760,[]
knowledge,,triviaqa,Nicaragua,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The revolutionary group the Sandinistas were active in which country?,sfq_22481,[]
knowledge,,triviaqa,Steven Norris,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,sfq_20557,[]
knowledge,,triviaqa,Mae West,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Who said, To err is human but it feels divine?""""""",tc_2182,[]
knowledge,,triviaqa,A fancy dress shop,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","When Mr Benn was looking for an adventure, what type of shop did he visit?",qz_4047,[]
knowledge,,triviaqa,Wagons,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was made and repaired by a Wainwright?,qf_1928,[]
knowledge,,triviaqa,Paraguay,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",qw_1225,[]
knowledge,,triviaqa,Rio de Janeiro,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What city will host the 2016 Olympics?,jp_2252,[]
knowledge,,triviaqa,Addis Ababa,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Mount Entoto is the highest peak overlooking which African capital city?,qb_7436,[]
knowledge,,triviaqa,Handley-Page,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which company produced the Hastings and Herald aircraft?,sfq_21619,[]
knowledge,,triviaqa,RIVER PLATE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Buenos Aires is located on the estuary of which river?,sfq_10251,[]
knowledge,,triviaqa,Boutros Ghali,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was the name of the Prime Minister of Egypt who was assassinated in 1910?,qb_1448,[]
knowledge,,triviaqa,CHINA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Cathay is a poetic name for which far eastern country?,wh_2443,[]
knowledge,,triviaqa,King George VI,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which British monarch was the first Head of the Commonwealth?,qb_6004,[]
knowledge,,triviaqa,Massachusetts,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which American state is the Isabella Stewart Gardner Museum?,tc_1069,[]
knowledge,,triviaqa,George III,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?",qw_16501,[]
